Icarus Keywords / UAT Crosswalk by Katie Frey (https://orcid.org/0000-0001-9891-4465),,,,
Jovian planets,exactMatch,Solar system gass giant planets,http://astrothesaurus.org/uat/1191,
Jupiter,exactMatch,Jupiter,http://astrothesaurus.org/uat/2027,
"Jupiter, atmosphere",narrowMatch,Jupiter,http://astrothesaurus.org/uat/873,
"Jupiter, atmosphere",narrowMatch,Planetary atmospheres,http://astrothesaurus.org/uat/1244,
"Jupiter, interior",narrowMatch,Jupiter,http://astrothesaurus.org/uat/873,
"Jupiter, interior",narrowMatch,Planetary interior,http://astrothesaurus.org/uat/1248,
"Jupiter, magnetosphere",narrowMatch,Jupiter,http://astrothesaurus.org/uat/873,
"Jupiter, magnetosphere",narrowMatch,Planetary magnetospheres,http://astrothesaurus.org/uat/997,
"Jupiter, rings",narrowMatch,Jupiter,http://astrothesaurus.org/uat/873,
"Jupiter, rings",narrowMatch,Planetary rings,http://astrothesaurus.org/uat/1254,
"Jupiter, satellites",exactMatch,Jovian satellites,http://astrothesaurus.org/uat/872,
Kuiper belt,exactMatch,Kuiper belt,http://astrothesaurus.org/uat/893,
Lightning,exactMatch,Lightning,http://astrothesaurus.org/uat/2193,
Magnetic fields,exactMatch,Magnetic fields,http://astrothesaurus.org/uat/994,
Magnetospheres,narrowMatch,Planetary magnetospheres,http://astrothesaurus.org/uat/997,
Mars,exactMatch,Mars,http://astrothesaurus.org/uat/1007,
"Mars, atmosphere",narrowMatch,Mars,http://astrothesaurus.org/uat/1007,
"Mars, atmosphere",narrowMatch,Planetary atmospheres,http://astrothesaurus.org/uat/1244,
"Mars, climate",narrowMatch,Mars,http://astrothesaurus.org/uat/1007,
"Mars, climate",narrowMatch,Planetary climates,http://astrothesaurus.org/uat/2184,
"Mars, interior",narrowMatch,Mars,http://astrothesaurus.org/uat/1007,
"Mars, interior",narrowMatch,Planetary interior,http://astrothesaurus.org/uat/1248,
"Mars, polar caps",narrowMatch,Mars,http://astrothesaurus.org/uat/1007,
