ASK / UAT Crosswalk by Katie Frey (https://orcid.org/0000-0001-9891-4465),,,,
Subject Source: Astronomy Subject Keywords,,Version 2013,https://journals.aas.org/authors/keywords2013.html,
Galaxies,galaxies: dwarf,narrowMatch,Dwarf spheroidal galaxies,http://astrothesaurus.org/uat/420
Galaxies,"galaxies: elliptical and lenticular, cD",relatedMatch,Sculptor dwarf elliptical galaxy,http://astrothesaurus.org/uat/1436
Galaxies,"galaxies: elliptical and lenticular, cD",relatedMatch,cD galaxies,http://astrothesaurus.org/uat/209
Galaxies,"galaxies: elliptical and lenticular, cD",relatedMatch,Dwarf elliptical galaxies,http://astrothesaurus.org/uat/415
Galaxies,"galaxies: elliptical and lenticular, cD",relatedMatch,Elliptical galaxies,http://astrothesaurus.org/uat/456
Galaxies,"galaxies: elliptical and lenticular, cD",relatedMatch,Giant elliptical galaxies,http://astrothesaurus.org/uat/651
Galaxies,"galaxies: elliptical and lenticular, cD",relatedMatch,Lenticular galaxies,http://astrothesaurus.org/uat/915
Galaxies,galaxies: evolution,exactMatch,Galaxy evolution,http://astrothesaurus.org/uat/594
Galaxies,galaxies: formation,exactMatch,Galaxy formation,http://astrothesaurus.org/uat/595
Galaxies,galaxies: fundamental parameters,partial match,Galaxy physics,http://astrothesaurus.org/uat/612
Galaxies,galaxies: general,exactMatch,Galaxies,http://astrothesaurus.org/uat/573
Galaxies,galaxies: groups: general,exactMatch,Galaxy groups,http://astrothesaurus.org/uat/597
Galaxies,galaxies: groups: individual,relatedMatch,Galaxy groups,http://astrothesaurus.org/uat/597
Galaxies,galaxies: groups: individual,relatedMatch,Hickson compact group,http://astrothesaurus.org/uat/729
Galaxies,galaxies: groups: individual,relatedMatch,Local Group,http://astrothesaurus.org/uat/929
Galaxies,galaxies: halos,exactMatch,Galaxy stellar halos,http://astrothesaurus.org/uat/598
Galaxies,galaxies: high-redshift,exactMatch,High-redshift galaxies,http://astrothesaurus.org/uat/734
Galaxies,galaxies: individual,narrowMatch,Milky Way Galaxy,http://astrothesaurus.org/uat/1054
