preferred term,UAT v.2.0.0 URI,UAT v.1.1.0 URI,UAT v.1.1.0 URI
Baily's beads,http://astrothesaurus.org/uat/133,http://astrothesaurus.org/uat/BailysBeads,
Baker-Nunn cameras,http://astrothesaurus.org/uat/134,http://astrothesaurus.org/uat/Baker-NunnCameras,
Barium stars,http://astrothesaurus.org/uat/135,http://astrothesaurus.org/uat/BariumStars,
Barred spiral galaxies,http://astrothesaurus.org/uat/136,http://astrothesaurus.org/uat/BarredSpiralGalaxies,
Baryogenesis,http://astrothesaurus.org/uat/137,http://astrothesaurus.org/uat/Baryogenesis,
Baryon acoustic oscillations,http://astrothesaurus.org/uat/138,http://astrothesaurus.org/uat/BaryonAcousticOscillations,
Baryon density,http://astrothesaurus.org/uat/139,http://astrothesaurus.org/uat/BaryonDensity,
Baryonic dark matter,http://astrothesaurus.org/uat/140,http://astrothesaurus.org/uat/BaryonicDarkMatter,
Bautz-Morgan type,http://astrothesaurus.org/uat/141,http://astrothesaurus.org/uat/Bautz-MorganType,
Be stars,http://astrothesaurus.org/uat/142,http://astrothesaurus.org/uat/BeStars,
Be type stars,http://astrothesaurus.org/uat/143,http://astrothesaurus.org/uat/BeTypeStars,
Bediasites,http://astrothesaurus.org/uat/144,http://astrothesaurus.org/uat/Bediasites,
Bekenstein–Hawking entropy,http://astrothesaurus.org/uat/145,http://astrothesaurus.org/uat/BekensteinHawkingEntropy,
Beryllium abundance,http://astrothesaurus.org/uat/146,http://astrothesaurus.org/uat/Beryllium,
Bessel photometry,http://astrothesaurus.org/uat/147,http://astrothesaurus.org/uat/BesselPhotometry,
Beta Cephei stars,http://astrothesaurus.org/uat/148,http://astrothesaurus.org/uat/BetaCepheiStars,
Beta Lyrae stars,http://astrothesaurus.org/uat/149,http://astrothesaurus.org/uat/BetaLyraeStars,
Bianchi cosmology,http://astrothesaurus.org/uat/150,http://astrothesaurus.org/uat/BianchiCosmology,
Big Bang nucleosynthesis,http://astrothesaurus.org/uat/151,http://astrothesaurus.org/uat/BigBangNucleosynthesis,
Big Bang theory,http://astrothesaurus.org/uat/152,http://astrothesaurus.org/uat/BigBangTheory,
Binary pulsars,http://astrothesaurus.org/uat/153,http://astrothesaurus.org/uat/BinaryPulsars,
Binary stars,http://astrothesaurus.org/uat/154,http://astrothesaurus.org/uat/BinaryStars,
Bipolar nebulae,http://astrothesaurus.org/uat/155,http://astrothesaurus.org/uat/BipolarNebulae,
Bipolar sunspot groups,http://astrothesaurus.org/uat/156,http://astrothesaurus.org/uat/BipolarSunspotGroups,
BL Herculis stars,http://astrothesaurus.org/uat/157,http://astrothesaurus.org/uat/BlHerculisStars,
BL Lacertae objects,http://astrothesaurus.org/uat/158,http://astrothesaurus.org/uat/BlLacertaeObjects,
Black hole physics,http://astrothesaurus.org/uat/159,http://astrothesaurus.org/uat/BlackHolePhysics,
Black hole spin-flip,http://astrothesaurus.org/uat/160,http://astrothesaurus.org/uat/BlackHoleSpin-Flip,
Black hole thermodynamics,http://astrothesaurus.org/uat/161,http://astrothesaurus.org/uat/BlackHoleThermodynamics,
Black holes,http://astrothesaurus.org/uat/162,http://astrothesaurus.org/uat/BlackHoles,
Blazars,http://astrothesaurus.org/uat/164,http://astrothesaurus.org/uat/Blazars,
Blue cloud galaxies,http://astrothesaurus.org/uat/166,http://astrothesaurus.org/uat/BlueCloudGalaxies,
Blue loop,http://astrothesaurus.org/uat/167,http://astrothesaurus.org/uat/BlueLoop,
Blue straggler stars,http://astrothesaurus.org/uat/168,http://astrothesaurus.org/uat/BlueStragglers,
Blueshifted,http://astrothesaurus.org/uat/169,http://astrothesaurus.org/uat/Blueshifted,
Bode's law,http://astrothesaurus.org/uat/170,http://astrothesaurus.org/uat/BodesLaw,
Bok globules,http://astrothesaurus.org/uat/171,http://astrothesaurus.org/uat/BokGlobules,
Bolides,http://astrothesaurus.org/uat/172,http://astrothesaurus.org/uat/Bolides,
Bolometric correction,http://astrothesaurus.org/uat/173,http://astrothesaurus.org/uat/BolometricCorrection,
Bondi accretion,http://astrothesaurus.org/uat/174,http://astrothesaurus.org/uat/BondiAccretion,
Borasisi,http://astrothesaurus.org/uat/175,http://astrothesaurus.org/uat/Borasisi,
Boron abundance,http://astrothesaurus.org/uat/176,http://astrothesaurus.org/uat/Boron,
Bouwers telescope,http://astrothesaurus.org/uat/177,http://astrothesaurus.org/uat/BouwersTelescope,
Bp stars,http://astrothesaurus.org/uat/178,http://astrothesaurus.org/uat/BpStars,
Brane cosmology,http://astrothesaurus.org/uat/179,http://astrothesaurus.org/uat/BraneCosmology,
Bright nebulae,http://astrothesaurus.org/uat/180,http://astrothesaurus.org/uat/BrightNebulae,
Brightest cluster galaxies,http://astrothesaurus.org/uat/181,http://astrothesaurus.org/uat/BrightestClusterGalaxies,
Brightness temperature,http://astrothesaurus.org/uat/182,http://astrothesaurus.org/uat/BrightnessTemperature,
Broad band photometry,http://astrothesaurus.org/uat/184,http://astrothesaurus.org/uat/BroadBandPhotometry,
Broad-absorption line quasar,http://astrothesaurus.org/uat/183,http://astrothesaurus.org/uat/Broad-AbsorptionLineQuasar,
Brown dwarf stars,http://astrothesaurus.org/uat/185,http://astrothesaurus.org/uat/BrownDwarfs,
Burkert profile,http://astrothesaurus.org/uat/186,http://astrothesaurus.org/uat/BurkertProfile,
Burst astrophysics,http://astrothesaurus.org/uat/187,http://astrothesaurus.org/uat/BurstAstrophysics,
BV photometry,http://astrothesaurus.org/uat/188,http://astrothesaurus.org/uat/BvPhotometry,
BW stars,http://astrothesaurus.org/uat/189,http://astrothesaurus.org/uat/BwStars,
BY Draconis stars,http://astrothesaurus.org/uat/190,http://astrothesaurus.org/uat/ByDraconisStars,
Calendars,http://astrothesaurus.org/uat/191,http://astrothesaurus.org/uat/Calendars,
Cape photometry,http://astrothesaurus.org/uat/192,http://astrothesaurus.org/uat/CapePhotometry,
Cape RI photometry,http://astrothesaurus.org/uat/193,http://astrothesaurus.org/uat/CapeRiPhotometry,
Carbon burning,http://astrothesaurus.org/uat/195,http://astrothesaurus.org/uat/CarbonBurning,
Carbon dioxide,http://astrothesaurus.org/uat/196,http://astrothesaurus.org/uat/CarbonDioxide,
Carbon flashes,http://astrothesaurus.org/uat/197,http://astrothesaurus.org/uat/CarbonFlash,
Carbon planets,http://astrothesaurus.org/uat/198,http://astrothesaurus.org/uat/CarbonPlanets,
Carbon stars,http://astrothesaurus.org/uat/199,http://astrothesaurus.org/uat/CarbonStars,
Carbonaceous chondrites,http://astrothesaurus.org/uat/200,http://astrothesaurus.org/uat/CarbonaceousChondrites,
Carbonaceous grains,http://astrothesaurus.org/uat/201,http://astrothesaurus.org/uat/CarbonaceousGrains,
Carbon-nitrogen cycle,http://astrothesaurus.org/uat/194,http://astrothesaurus.org/uat/Carbon-NitrogenCycle,
Cassegrain telescopes,http://astrothesaurus.org/uat/202,http://astrothesaurus.org/uat/CassegrainTelescopes,
Cataclysmic variable stars,http://astrothesaurus.org/uat/203,http://astrothesaurus.org/uat/CataclysmicVariableStars,
Catadioptric telescopes,http://astrothesaurus.org/uat/204,http://astrothesaurus.org/uat/CatadioptricTelescopes,
Catalogs,http://astrothesaurus.org/uat/205,http://astrothesaurus.org/uat/Catalogs,
Caustic crossing,http://astrothesaurus.org/uat/206,http://astrothesaurus.org/uat/CausticCrossing,
CCD observation,http://astrothesaurus.org/uat/207,http://astrothesaurus.org/uat/CcdObservation,
CCD photometry,http://astrothesaurus.org/uat/208,http://astrothesaurus.org/uat/CcdPhotometry,
